48,-50,-48
89,64,-49
-90,-51,15
3,-10,-27
-34,15,57
7,-28,48
-74,-97,25
-46,20,93
-82,15,41
68,-4,68
-6,-85,-75
-66,-23,-92
-53,-25,-21
-56,56,54
85,-38,94
74,-81,-60
-49,14,-68
-67,-67,84
-42,-93,-33
-36,72,84
-75,22,28
71,50,-32
50,71,-15
49,2,-68
-27,-35,-48
18,-50,56
-42,16,59
58,-77,-55
-78,26,84
-24,-18,77
14,24,-35
80,25,-68
-68,-89,32
-41,-92,-27
-85,-91,-48
47,-83,-69
-88,25,-86
41,83,-29
70,24,80
53,-16,-20
30,-85,-12
-82,-67,-63
-48,69,-48
69,-5,5
24,-62,-48
96,86,46
-45,94,-94
-89,-64,46
97,-86,-8
7,-5,27
-78,65,89
-7,-87,35
1,57,84
92,2,17
7,-79,-13
-69,47,65
-48,-4,-68
48,-69,94
-58,63,-4
82,-71,-91
78,-47,-73
29,0,60
-40,-22,97
43,18,-85
-2,40,-88
-59,-26,-71
37,-22,-70
8,-94,13
58,-89,76
48,-49,25
-32,-73,-7
-8,-67,-38
-74,-70,-68
-16,5,8
-17,-62,90
62,-48,12
-22,42,-33
-7,-78,3
69,50,78
-20,-99,-62
-9,-59,-80
88,69,49
-15,33,-58
30,-49,22
-40,-44,-11
-44,-67,-94
17,32,28
20,37,-62
15,-57,-93
-53,53,-63
53,-18,53
-83,70,-63
-49,19,72
54,59,72
-13,5,33
18,1,78
82,7,-72
-29,72,-98
31,93,-74
-15,-76,-79
25,-32,89
-12,-40,-1
-57,62,-25
33,-55,15
-5,16,-42
52,-64,-52
-46,17,29
-77,20,-32
-44,-98,18
29,90,39
-81,-54,95
21,-61,32
11,-21,3
82,-11,-17
86,84,40
2,60,13
-21,-87,-11
-95,93,42
-56,-61,33
-24,-30,-59
21,71,93
-60,-8,83
18,-43,-36
-51,-90,-64
-2,-100,20
13,7,-18
-53,-6,-72
-6,-76,72
-91,30,-58
89,-41,-72
5,28,71
-56,-61,7
-26,-83,1
-29,-8,-7
90,-54,-19
-55,2,68
-11,58,1
-89,-45,56
2,-64,-23
0,88,57
80,79,21
-52,-94,29
-85,14,-42
76,61,96
34,19,78
-85,13,49
-85,-12,-70
-49,79,-92
-2,96,-96
-80,41,-13
85,-31,74
-17,-66,-43
-93,-7,-84
14,-4,-46
35,-77,-35
-51,-23,-88
-74,31,78
-87,84,-78
60,-30,-69
-71,-1,100
-43,-9,11
69,68,-33
13,-75,-18
52,22,46
15,54,-4
6,19,-24
58,40,64
-68,15,25
83,-3,62
-56,85,18
-25,83,-52
-64,93,-49
100,17,29
71,-39,-52
37,-44,-98
-33,89,-61
-46,55,24
-69,17,93
46,9,76
61,84,-3
23,-64,-41
-50,12,-35
-68,33,-63
-2,-25,23
-36,-37,-10
-70,6,-56
77,-51,15
-19,-68,72
8,59,-98
4,72,84
26,-15,49
-54,97,96
-2,-89,-26
-35,58,-92
2,11,-10
-11,31,12
-86,-51,-36
55,10,70
-25,73,64
-3,-49,2
-14,-19,31
-4,43,8
-32,48,28
-27,-9,19
-21,86,-100
2,53,-21
-66,-33,45
-21,25,-35
49,-88,-22
97,44,-91
89,-30,-78
-88,-24,-86
69,5,-71
49,-74,33
-47,15,-18
67,47,48
-52,-9,96
-85,21,-4
-43,53,-82
-81,-13,1
13,-55,57
-70,-2,88
-75,65,3
31,6,-69
-27,-23,-79
-37,53,8
-10,-64,-61
-55,8,34
-10,65,91
19,33,99
-27,-81,-93
68,-28,66
66,70,38
59,47,-16
-43,-32,-51
24,35,-48
9,49,100
95,67,-15
70,-43,-75
83,-36,75
-94,19,64
-49,-2,-16
87,-79,34
3,36,5
65,-9,62
72,-22,80
90,-58,60
-7,96,24
68,0,-75
-100,73,-73
-49,71,-20
53,-49,-87
92,59,49
74,74,-64
-24,9,-17
-66,-97,32
-27,-56,15
-86,84,-18
66,-35,73
13,5,-14
87,-40,14
1,39,-65
77,83,68
32,-63,90
88,65,46
-17,43,17
-43,45,91
55,24,14
15,85,-8
61,32,20
-27,-37,75
35,8,-58
-94,-33,-83
43,99,73
42,68,-22
-67,31,86
-99,94,-36
-13,93,100
93,48,64
100,-16,80
-76,45,73
-67,-1,-58
-73,-75,28
13,-7,9
57,2,-62
-88,0,-94
-96,-94,-52
39,16,-49
-72,60,9
-89,-98,17
-46,9,-2
-79,16,-53
100,-2,67
-51,-60,-34
91,-19,-77
-22,62,14
-76,-31,-95
15,37,79
22,-54,56
79,69,-33
80,59,-4
64,39,54
-8,-58,90
71,27,-12
38,6,-98
73,74,82
31,88,-40
50,-75,-98
45,33,-60
-9,38,99
-4,42,13
-1,-40,-77
-84,35,-57
27,-40,-82
6,32,31
5,-68,58
58,-76,-33
-54,49,-7
-6,-1,91
71,-29,31
93,-33,60
-72,50,57
42,20,-36
-83,-4,-75
44,-51,23
-41,55,-78
-28,-38,-64
33,63,59
-88,52,92
-34,-48,24
48,-79,-56
-29,99,-44
-20,-29,11
43,-18,-18
46,-18,-1
-72,15,88
-51,5,-65
8,-51,-48
-8,-89,81
92,-76,-54
-4,-46,-54
-46,66,-58
-62,32,63
13,3,43
-3,67,21
73,-60,-42
-14,47,-61
58,2,96
-18,-72,58
-8,-7,82
97,-68,47
-84,82,65
35,-47,5
-91,24,24
48,76,-9
62,-29,73
-15,39,71
100,15,-39
78,-47,-51
-37,55,-43
82,-100,47
12,48,62
76,8,43
48,20,75
70,30,-62
-26,64,-100
-40,31,-24
74,1,-70
-3,6,32
54,1,-19
-31,-72,-70
50,-99,64
-28,17,-74
-40,-5,17
35,-18,85
-78,-26,61
59,46,33
94,83,9
-69,-90,55
-62,56,86
-27,22,22
-44,-38,-32
5,28,-91
67,46,-36
-58,96,-91
36,-38,67
49,-81,-67
-42,-37,-85
20,10,63
30,88,87
22,-5,-10
-84,-39,36
24,62,30
-46,-7,-29
-7,-21,67
38,36,21
-61,73,8
-95,38,-6
-35,-2,-64
-69,-66,92
-58,88,-33
68,-59,64
10,-42,-1
15,96,-98
-79,-62,-61
-53,-75,81
53,-49,37
14,68,36
63,-53,19
23,55,15
30,69,100
-71,-4,45
-12,82,-51
-43,93,81
100,-36,98
86,42,5
-66,59,-42
89,45,13
5,66,-3
69,-47,12
86,-74,10
54,82,60
-9,-13,-56
1,55,-67
9,31,59
72,-47,-40
86,69,79
98,69,77
-15,-36,81
-56,-61,-32
4,7,30
21,94,96
1,90,-47
-32,-63,-49
94,-9,84
-46,-43,-74
65,57,75
-84,-23,13
-8,13,47
-83,1,-18
18,-17,99
-96,-51,-39
76,-33,-27
27,13,57
78,90,12
-88,18,-66
-67,-72,91
85,11,-65
-27,46,18
-25,1,-45
55,86,-85
56,96,47
68,-43,9
-68,-82,-48
-93,84,-72
57,9,-84
-97,-6,18
-29,-74,-18
-39,5,-28
80,31,68
-56,25,24
37,14,56
73,-45,15
-39,-22,-37
78,-65,-86
13,-45,-98
-29,-60,51
3,-8,18
-9,-18,-11
16,40,-50
59,-97,12
-38,68,-83
-6,-3,-10
-83,-77,56
26,-81,83
-40,-46,11
98,69,-19
39,6,44
-50,47,46
80,41,-74
43,-47,-55
91,46,68
15,-40,1
-86,53,76
68,79,8
-74,-83,86
89,-43,43
